date,value
24-09-2015,44.76
28-09-2015,44.26
29-09-2015,42.76
30-09-2015,43.01
01-10-2015,42.01
05-10-2015,42.01
06-10-2015,40.76
07-10-2015,41.51
08-10-2015,41.01
09-10-2015,41.01
12-10-2015,40.76
13-10-2015,39.26
14-10-2015,38.76
15-10-2015,37.26
16-10-2015,36.26
19-10-2015,33.67
20-10-2015,32.17
21-10-2015,31.17
23-10-2015,30.17
26-10-2015,29.17
27-10-2015,29.17
28-10-2015,29.92
29-10-2015,29.92
30-10-2015,29.92
31-10-2015,29.42
01-11-2015,28.42
02-11-2015,28.42
03-11-2015,27.17
04-11-2015,26.67
05-11-2015,26.67
06-11-2015,25.92
07-11-2015,25.42
09-11-2015,25.67
10-11-2015,25.17
11-11-2015,20.35
12-11-2015,19.52
13-11-2015,19.52
14-11-2015,19.52
15-11-2015,19.52
16-11-2015,25.04
17-11-2015,23.54
18-11-2015,24.71
19-11-2015,24.21
20-11-2015,24.38
21-11-2015,23.54
22-11-2015,20.08
23-11-2015,22.29
24-11-2015,22.04
25-11-2015,19.08
26-11-2015,21.79
27-11-2015,22.04
28-11-2015,20.08
29-11-2015,20.08
30-11-2015,21.54
01-12-2015,20.08
02-12-2015,19.79
03-12-2015,19.54
04-12-2015,18.54
05-12-2015,18.29
06-12-2015,18.58
07-12-2015,17.54
08-12-2015,16.29
09-12-2015,16.79
10-12-2015,15.91
11-12-2015,15.66
13-12-2015,17.58
14-12-2015,15.16
15-12-2015,15.16
16-12-2015,14.79
17-12-2015,15.16
18-12-2015,14.79
19-12-2015,15.66
20-12-2015,18.08
21-12-2015,15.29
22-12-2015,15.66
23-12-2015,16.04
24-12-2015,18.08
25-12-2015,18.58
26-12-2015,18.58
27-12-2015,18.58
28-12-2015,15.91
29-12-2015,16.29
30-12-2015,16.79
31-12-2015,16.29
01-01-2016,16.29
02-01-2016,16.29
03-01-2016,18.58
04-01-2016,16.09
05-01-2016,14.84
06-01-2016,15.34
07-01-2016,15.34
08-01-2016,14.91
09-01-2016,17.32
10-01-2016,17.82
11-01-2016,14.94
12-01-2016,13.66
13-01-2016,13.28
14-01-2016,13.03
15-01-2016,13.41
16-01-2016,13.41
17-01-2016,16.98
18-01-2016,12.49
19-01-2016,11.41
20-01-2016,11.66
21-01-2016,12.01
22-01-2016,12.91
23-01-2016,13.57
24-01-2016,13.41
25-01-2016,12.87
27-01-2016,12.38
28-01-2016,12.52
29-01-2016,12.77
30-01-2016,12.77
31-01-2016,13.78
01-02-2016,13.46
02-02-2016,13.34
03-02-2016,12.97
04-02-2016,12.97
05-02-2016,12.64
06-02-2016,12.8
07-02-2016,12.68
08-02-2016,12.39
09-02-2016,12.43
10-02-2016,12.06
11-02-2016,11.47
12-02-2016,11.12
13-02-2016,11.07
14-02-2016,11.02
15-02-2016,11.37
16-02-2016,10.83
17-02-2016,11.16
18-02-2016,10.64
19-02-2016,10.85
20-02-2016,10.22
21-02-2016,10.3
22-02-2016,10.43
23-02-2016,10.22
24-02-2016,10.22
25-02-2016,9.74
26-02-2016,9.82
27-02-2016,10.52
28-02-2016,9.57
29-02-2016,9.78
01-03-2016,9.78
02-03-2016,9.53
03-03-2016,9.66
04-03-2016,9.78
05-03-2016,9.74
06-03-2016,10.57
07-03-2016,10.79
08-03-2016,10.53
09-03-2016,9.91
10-03-2016,10.47
11-03-2016,10.22
12-03-2016,10.4
13-03-2016,10.4
14-03-2016,10.1
15-03-2016,9.72
16-03-2016,10.04
17-03-2016,9.85
18-03-2016,9.4
19-03-2016,8.32
20-03-2016,9.67
21-03-2016,8.52
22-03-2016,8.6
23-03-2016,9.13
25-03-2016,8.92
26-03-2016,8.92
27-03-2016,9.13
28-03-2016,9.65
29-03-2016,9.27
30-03-2016,9.48
31-03-2016,9.66
01-04-2016,9.91
02-04-2016,9.89
03-04-2016,10.24
04-04-2016,9.51
05-04-2016,9.46
06-04-2016,8.63
07-04-2016,8.91
08-04-2016,9.83
09-04-2016,9.83
10-04-2016,10.1
11-04-2016,9.24
12-04-2016,9.53
13-04-2016,9.39
14-04-2016,9.57
15-04-2016,10.58
16-04-2016,9.35
17-04-2016,9.61
18-04-2016,8.97
